Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Monday Apr 6,boxscore,COL,@,ARI,L,8,9,,0-1,4,1.0,Peña,Grilli,Qualls,2:58,D,48799,1.09,-,
2,Tuesday Apr 7,boxscore,COL,@,ARI,W,3,0,,1-1,2,0.5,Jiménez,Haren,Street,2:41,N,26637,1.04,+,
3,Wednesday Apr 8,boxscore,COL,@,ARI,W,9,2,,2-1,1,Tied,Morales,Davis,,2:39,D,18227,1.08,++,
4,Friday Apr 10,boxscore,COL,,PHI,W,10,3,,3-1,1,up 0.5,Marquis,Hamels,,2:34,D,49427,.98,+++,
5,Saturday Apr 11,boxscore,COL,,PHI,L,4,8,,3-2,2,0.5,Myers,De La Rosa,,3:01,N,35251,1.00,-,
6,Sunday Apr 12,boxscore,COL,,PHI,L,5,7,,3-3,3,1.5,Madson,Street,Lidge,3:16,D,21628,1.01,--,
7,Monday Apr 13,boxscore,COL,@,CHC,L,0,4,,3-4,3,2.5,Lilly,Jiménez,,3:03,D,40077,.95,---,
8,Wednesday Apr 15,boxscore,COL,@,CHC,W,5,2,,4-4,3,1.5,Marquis,Harden,Grilli,2:47,D,39361,.93,+,
9,Friday Apr 17,boxscore,COL,@,LAD,L,3,4,,4-5,3,3.0,Mota,Embree,Broxton,3:20,N,45145,1.10,-,
10,Saturday Apr 18,boxscore,COL,@,LAD,L,5,9,,4-6,3,4.0,Billingsley,Cook,,3:24,D,36765,1.07,--,
11,Sunday Apr 19,boxscore,COL,@,LAD,L,2,14,,4-7,3,5.0,Elbert,Jiménez,,3:06,D,41474,1.04,---,
12,Monday Apr 20,boxscore,COL,@,ARI,L,3,6,,4-8,4,5.5,Garland,Marquis,Qualls,2:44,N,25788,.85,----,
13,Tuesday Apr 21,boxscore,COL,@,ARI,W,9,6,,5-8,3,4.5,Belisle,Gutiérrez,Corpas,3:32,N,25411,.79,+,
14,Wednesday Apr 22,boxscore,COL,@,ARI,L,0,2,,5-9,5,4.5,Haren,De La Rosa,Qualls,2:46,D,19147,.91,-,
15,Friday Apr 24,boxscore,COL,,LAD,L,5,6,,5-10,5,6.0,Kuo,Corpas,Broxton,3:45,N,36151,.92,--,
16,Saturday Apr 25,boxscore,COL,,LAD,L,5,6,,5-11,5,7.0,McDonald,Jiménez,Troncoso,3:01,N,31476,.77,---,
17,Sunday Apr 26,boxscore,COL,,LAD,W,10,4,,6-11,5,6.0,Marquis,Kershaw,,2:42,D,35505,.74,+,
18,Monday Apr 27,boxscore,COL,,SDP,W,12,7,,7-11,5,5.0,Rusch,Young,,3:26,N,18246,.81,++,
19,Tuesday Apr 28,boxscore,COL,,SDP,L,3,4,,7-12,5,6.0,Sánchez,Corpas,Bell,3:09,N,19346,.82,-,
20,Wednesday Apr 29,boxscore,COL,,SDP,W,7,5,,8-12,5,5.0,Cook,Correia,Street,2:53,D,20289,.76,+,
21,Friday May 1,boxscore,COL,@,SFG,L,2,3,,8-13,5,6.5,Johnson,Jiménez,Wilson,2:40,N,30791,.86,-,
22,Saturday May 2,boxscore,COL,@,SFG,W,5,1,,9-13,5,6.5,Marquis,Cain,,2:26,D,30166,.73,+,
23,Sunday May 3,boxscore,COL,@,SFG,L-wo,0,1,10,9-14,5,7.5,Medders,Corpas,,2:46,D,30650,.85,-,
24,Monday May 4,boxscore,COL,@,SDP,W,9,6,,10-14,3,7.5,Rusch,Moreno,Street,3:00,N,14717,.70,+,
25,Tuesday May 5,boxscore,COL,@,SDP,L-wo,1,2,10,10-15,4,8.5,Bell,Daley,,2:38,N,13646,.84,-,
26,Wednesday May 6,boxscore,COL,,SFG,W,11,1,,11-15,3,8.5,Jiménez,Johnson,,2:24,N,22105,.79,+,
27,Thursday May 7,boxscore,COL,,SFG,L,3,8,,11-16,4,8.5,Cain,Marquis,,2:56,D,23453,.80,-,
28,Friday May 8,boxscore,COL,,FLA,L,3,8,,11-17,4,8.5,Nolasco,Hammel,,3:17,N,27398,.66,--,
29,Saturday May 9,boxscore,COL,,FLA,L,1,3,,11-18,4,9.5,Johnson,De La Rosa,Lindstrom,2:41,N,28227,.64,---,
30,Sunday May 10,boxscore,COL,,FLA,W,3,2,,12-18,3,8.5,Cook,Volstad,Street,2:58,D,30197,.55,+,
31,Tuesday May 12,boxscore,COL,,HOU,W,12,1,,13-18,3,7.5,Jiménez,Paulino,,2:39,N,23233,.61,++,
32,Wednesday May 13,boxscore,COL,,HOU,L,11,15,,13-19,3,8.5,Hampton,Marquis,,3:13,N,19226,.68,-,
33,Thursday May 14,boxscore,COL,,HOU,L,3,5,,13-20,3,9.5,Rodríguez,Hammel,Hawkins,2:54,D,22696,.58,--,
34,Friday May 15,boxscore,COL,@,PIT,W,3,1,,14-20,3,9.5,Embree,Capps,Street,2:41,N,17179,.54,+,
35,Saturday May 16,boxscore,COL,@,PIT,L,4,7,,14-21,3,9.5,Burnett,Belisle,Capps,2:44,N,24496,.58,-,
36,Sunday May 17,boxscore,COL,@,PIT,L,4,11,,14-22,4,10.5,Duke,Embree,,2:56,D,14545,.57,--,
37,Monday May 18,boxscore,COL,@,ATL,W,5,1,,15-22,4,10.5,Marquis,Lowe,,2:30,N,15364,.49,+,
38,Tuesday May 19,boxscore,COL,@,ATL,L,1,8,,15-23,4,11.5,Jurrjens,Hammel,,2:46,N,16749,.51,-,
39,Wednesday May 20,boxscore,COL,@,ATL,L,4,12,,15-24,5,12.5,Vázquez,De La Rosa,,3:17,N,19259,.48,--,
40,Thursday May 21,boxscore,COL,@,ATL,W,9,0,,16-24,5,12.0,Cook,Medlen,,2:35,N,25481,.41,+,
41,Friday May 22,boxscore,COL,@,DET,L,3,4,,16-25,5,12.0,Porcello,Jiménez,Zumaya,2:26,N,28264,.44,-,
42,Saturday May 23,boxscore,COL,@,DET,W,4,3,,17-25,5,12.0,Marquis,Galarraga,Street,2:33,N,37035,.40,+,
43,Sunday May 24,boxscore,COL,@,DET,W,3,1,,18-25,5,11.0,Hammel,Willis,Street,2:39,D,34606,.45,++,
44,Monday May 25,boxscore,COL,,LAD,L,6,16,,18-26,5,12.0,Ohman,De La Rosa,,3:59,D,37024,.64,-,
45,Tuesday May 26,boxscore,COL,,LAD,L,1,7,,18-27,5,13.0,Milton,Cook,,3:13,N,25384,.52,--,
46,Wednesday May 27,boxscore,COL,,LAD,L,6,8,,18-28,5,14.0,Kershaw,Jiménez,,3:23,D,22271,.41,---,
47,Friday May 29,boxscore,COL,,SDP,W,3,0,,19-28,5,13.5,Marquis,Young,Street,2:28,N,23239,.29,+,
48,Saturday May 30,boxscore,COL,,SDP,W-wo,8,7,,20-28,5,12.5,Street,Bell,,2:48,N,32064,.35,++,
49,Sunday May 31,boxscore,COL,,SDP,L,2,5,,20-29,5,13.5,Gaudin,De La Rosa,Bell,2:49,D,30223,.43,-,
50,Monday Jun 1,boxscore,COL,@,HOU,L,1,4,,20-30,5,13.5,Oswalt,Cook,Hawkins,2:31,N,24016,.32,--,
51,Tuesday Jun 2,boxscore,COL,@,HOU,L-wo,2,3,11,20-31,5,14.5,Ortiz,Fogg,,3:55,N,24041,.27,---,
52,Wednesday Jun 3,boxscore,COL,@,HOU,L,4,6,,20-32,5,15.5,Byrdak,Marquis,Sampson,2:49,N,22032,.25,----,
53,Thursday Jun 4,boxscore,COL,@,HOU,W,10,3,,21-32,5,14.5,Hammel,Rodríguez,,2:47,N,26671,.24,+,
54,Friday Jun 5,boxscore,COL,@,STL,W,11,4,,22-32,5,14.5,De La Rosa,Wainwright,,3:13,N,41115,.26,++,
55,Saturday Jun 6,boxscore,COL,@,STL,W,10,1,,23-32,5,14.5,Cook,Wellemeyer,,2:27,N,44002,.30,+++,
56,Sunday Jun 7,boxscore,COL,@,STL,W,7,2,,24-32,5,13.5,Jiménez,Piñeiro,,2:41,D,42288,.34,++++,
57,Monday Jun 8,boxscore,COL,@,STL,W,5,2,,25-32,4,13.0,Marquis,Thompson,Street,2:36,D,36748,.43,+++++,
58,Tuesday Jun 9,boxscore,COL,@,MIL,W,3,2,,26-32,4,13.0,Hammel,Coffey,Street,2:45,N,32464,.48,++++++,
59,Wednesday Jun 10,boxscore,COL,@,MIL,W,4,2,,27-32,4,12.0,De La Rosa,Bush,Street,3:26,N,34823,.53,+++++++,
60,Thursday Jun 11,boxscore,COL,@,MIL,W,5,4,,28-32,4,11.5,Cook,Gallardo,Street,3:48,D,35467,.63,++++++++,
61,Friday Jun 12,boxscore,COL,,SEA,W,6,4,,29-32,3,10.5,Jiménez,Washburn,,2:28,N,30365,.67,+++++++++,
62,Saturday Jun 13,boxscore,COL,,SEA,W,5,3,,30-32,3,10.5,Corpas,Lowe,Street,2:59,N,31101,.72,++++++++++,
63,Sunday Jun 14,boxscore,COL,,SEA,W,7,1,,31-32,3,10.5,Hammel,Vargas,,2:35,D,38614,.81,+++++++++++,
64,Tuesday Jun 16,boxscore,COL,,TBR,L,4,12,,31-33,3,11.5,Niemann,De La Rosa,,3:08,N,28582,.88,-,
65,Wednesday Jun 17,boxscore,COL,,TBR,W,5,3,,32-33,3,10.5,Cook,Price,Street,2:25,N,26460,.79,+,
66,Thursday Jun 18,boxscore,COL,,TBR,W,4,3,,33-33,3,10.5,Jiménez,Garza,Street,2:53,D,28639,.86,++,
67,Friday Jun 19,boxscore,COL,,PIT,W,7,3,,34-33,3,9.5,Marquis,Ohlendorf,,2:31,N,31248,1.04,+++,
68,Saturday Jun 20,boxscore,COL,,PIT,W-wo,9,7,,35-33,3,9.5,Street,Chavez,,3:05,N,32137,1.07,++++,
69,Sunday Jun 21,boxscore,COL,,PIT,W,5,4,,36-33,3,9.5,De La Rosa,Maholm,Street,3:01,D,44131,1.15,+++++,
70,Monday Jun 22,boxscore,COL,@,LAA,W,11,1,,37-33,3,9.0,Cook,Palmer,,2:56,N,39557,1.13,++++++,
71,Tuesday Jun 23,boxscore,COL,@,LAA,L,3,4,,37-34,3,10.0,Jepsen,Jiménez,Fuentes,2:49,N,42233,1.24,-,
72,Wednesday Jun 24,boxscore,COL,@,LAA,L,3,11,,37-35,3,10.0,Saunders,Marquis,,2:59,N,43551,1.14,--,
73,Friday Jun 26,boxscore,COL,@,OAK,W,4,2,,38-35,3,9.5,Hammel,Braden,Street,2:41,N,20872,1.04,+,
74,Saturday Jun 27,boxscore,COL,@,OAK,W,11,9,,39-35,3,8.5,De La Rosa,Cahill,Street,3:44,N,18624,1.19,++,
75,Sunday Jun 28,boxscore,COL,@,OAK,W,3,1,,40-35,3,7.5,Cook,Mazzaro,Street,2:49,D,15701,1.38,+++,
76,Monday Jun 29,boxscore,COL,@,LAD,L-wo,2,4,13,40-36,3,8.5,McDonald,Peralta,,4:10,N,41288,1.67,-,
77,Tuesday Jun 30,boxscore,COL,@,LAD,W,3,0,,41-36,3,7.5,Marquis,Billingsley,,2:16,N,43437,1.50,+,
78,Wednesday Jul 1,boxscore,COL,@,LAD,L,0,1,,41-37,3,8.5,Troncoso,Hammel,Broxton,2:28,D,40455,1.60,-,
79,Friday Jul 3,boxscore,COL,,ARI,W,5,0,,42-37,3,8.5,De La Rosa,Scherzer,,2:28,N,49026,1.34,+,
80,Saturday Jul 4,boxscore,COL,,ARI,L,7,11,,42-38,3,8.5,Schoeneweis,Peralta,Qualls,3:35,N,49096,1.41,-,
81,Sunday Jul 5,boxscore,COL,,ARI,L,3,4,,42-39,3,9.5,Haren,Jiménez,Qualls,2:48,D,27547,1.28,--,
82,Monday Jul 6,boxscore,COL,,WSN,W,1,0,,43-39,3,9.0,Marquis,Stammen,Street,2:12,N,25205,1.24,+,
83,Tuesday Jul 7,boxscore,COL,,WSN,W,5,4,,44-39,3,9.0,Embree,Tavárez,Street,2:59,N,25314,1.31,++,
84,Wednesday Jul 8,boxscore,COL,,WSN,W,10,4,,45-39,3,8.0,De La Rosa,Detwiler,,3:03,D,23098,1.30,+++,
85,Thursday Jul 9,boxscore,COL,,ATL,W,7,6,,46-39,3,8.0,Rincón,Gonzalez,Street,3:11,N,30392,1.46,++++,
86,Friday Jul 10,boxscore,COL,,ATL,L,1,4,,46-40,3,9.0,Lowe,Jiménez,Soriano,2:40,N,35238,1.45,-,
87,Saturday Jul 11,boxscore,COL,,ATL,L,3,4,,46-41,3,9.0,Jurrjens,Marquis,Soriano,2:51,N,38065,1.40,--,
88,Sunday Jul 12,boxscore,COL,,ATL,W-wo,8,7,,47-41,3,9.0,Street,Asencio,,3:15,D,33825,1.29,+,
89,Thursday Jul 16,boxscore,COL,@,SDP,W,10,1,,48-41,3,8.0,Cook,Gaudin,,3:06,N,22758,1.33,++,
